signal_id,pair,strategy,action,entry_time,entry_price,tp_price,sl_price,exit_time,exit_price,hit_type,holding_bars,return_pips_gross,return_pips_net,return_pct,win,evaluated_at
2026-04-20T01:00:00+00:00_USDJPY_USDJPY_STOCH_SELL,USDJPY,USDJPY_STOCH,SELL,2026-04-20T01:00:00+00:00,158.89700317382812,158.597,159.047,2026-04-20T13:00:00+00:00,158.597,TP,10,30.0,29.4,0.1888,1,2026-04-26T01:34:36+00:00
2026-04-21T10:00:00+00:00_USDJPY_USDJPY_STOCH_SELL,USDJPY,USDJPY_STOCH,SELL,2026-04-21T10:00:00+00:00,159.2169952392578,158.917,159.367,2026-04-21T14:00:00+00:00,159.367,SL,4,-15.0,-15.6,-0.0942,0,2026-04-26T01:34:36+00:00
2026-04-22T17:00:00+00:00_USDJPY_USDJPY_STOCH_SELL,USDJPY,USDJPY_STOCH,SELL,2026-04-22T17:00:00+00:00,159.49600219726562,159.196,159.646,2026-04-23T00:00:00+00:00,159.646,SL,7,-15.0,-15.6,-0.094,0,2026-04-26T01:34:36+00:00
2026-04-22T17:00:00+00:00_EURUSD_EURUSD_STOCH_BUY,EURUSD,EURUSD_STOCH,BUY,2026-04-22T17:00:00+00:00,1.1715089082717896,1.17351,1.17051,2026-04-23T00:00:00+00:00,1.17051,SL,7,-10.0,-10.4,-0.0854,0,2026-04-26T01:34:37+00:00
2026-04-23T03:00:00+00:00_GBPJPY_GBPJPY_STOCH_BUY,GBPJPY,GBPJPY_STOCH,BUY,2026-04-23T03:00:00+00:00,215.1529998779297,215.653,214.903,2026-04-23T08:00:00+00:00,215.653,TP,5,50.0,48.4,0.2324,1,2026-04-26T01:34:37+00:00
2026-04-23T10:00:00+00:00_USDJPY_USDJPY_STOCH_SELL,USDJPY,USDJPY_STOCH,SELL,2026-04-23T10:00:00+00:00,159.7050018310547,159.405,159.855,2026-04-23T14:00:00+00:00,159.405,TP,4,30.0,29.4,0.1878,1,2026-04-26T01:34:37+00:00
2026-04-27T09:00:00+00:00_EURUSD_EURUSD_STOCH_SELL,EURUSD,EURUSD_STOCH,SELL,2026-04-27T09:00:00+00:00,1.1750881671905518,1.17309,1.17609,2026-04-27T16:00:00+00:00,1.17309,TP,7,20.0,19.6,0.1702,1,2026-04-27T16:57:05+00:00
2026-04-27T19:00:00+00:00_USDJPY_USDJPY_STOCH_SELL,USDJPY,USDJPY_STOCH,SELL,2026-04-27T19:00:00+00:00,159.41799926757812,159.118,159.568,2026-04-28T03:00:00+00:00,159.118,TP,8,30.0,29.4,0.1882,1,2026-04-28T04:08:07+00:00
2026-04-27T19:00:00+00:00_EURUSD_EURUSD_STOCH_BUY,EURUSD,EURUSD_STOCH,BUY,2026-04-27T19:00:00+00:00,1.1727453470230105,1.17475,1.17175,2026-04-28T01:00:00+00:00,1.17175,SL,6,-10.0,-10.4,-0.0853,0,2026-04-28T04:08:07+00:00
2026-04-27T20:00:00+00:00_EURUSD_EURUSD_STOCH_BUY,EURUSD,EURUSD_STOCH,BUY,2026-04-27T20:00:00+00:00,1.1726078987121582,1.17461,1.17161,2026-04-28T02:00:00+00:00,1.17161,SL,6,-10.0,-10.4,-0.0853,0,2026-04-28T04:08:07+00:00
2026-04-28T20:00:00+00:00_GBPJPY_GBPJPY_STOCH_SELL,GBPJPY,GBPJPY_STOCH,SELL,2026-04-28T20:00:00+00:00,215.7910003662109,215.291,216.041,2026-04-29T13:00:00+00:00,216.041,SL,17,-25.0,-26.6,-0.1159,0,2026-04-29T14:32:18+00:00
2026-04-29T10:00:00+00:00_USDJPY_USDJPY_STOCH_SELL,USDJPY,USDJPY_STOCH,SELL,2026-04-29T10:00:00+00:00,159.7830047607422,159.483,159.933,2026-04-29T12:00:00+00:00,159.933,SL,2,-15.0,-15.6,-0.0939,0,2026-04-29T14:32:18+00:00
2026-04-29T12:00:00+00:00_USDJPY_USDJPY_BB_RSI_SELL,USDJPY,USDJPY_BB_RSI,SELL,2026-04-29T12:00:00+00:00,159.96499633789062,159.665,160.115,2026-04-29T13:00:00+00:00,160.115,SL,1,-15.0,-15.6,-0.0938,0,2026-04-29T14:32:18+00:00
